Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
67.05684208869934	10	-44.56869220849456	0.47020328775749887	-43.36658072245623	-45.93079506428739	6400
120.4158079624176	20	-42.797008539448754	0.36143718636324673	-42.04718761412382	-43.924206223038716	12800
173.64962196350098	30	-43.744538447145715	0.4379081298573778	-42.51598632455401	-45.1034877360364	19200
220.63571691513062	40	-47.81913257380895	0.5189505654920631	-46.545039363376475	-49.03026615812958	25600
267.3988811969757	50	-47.12350877730101	0.3994063686139751	-46.0021255097908	-48.03108709734714	31999
314.76967096328735	60	-47.363282641028555	0.28074640230058373	-46.57644227634882	-47.98732483900245	38399
362.206866979599	70	-46.837833260684874	0.5088930907031917	-45.62932400380132	-47.94607808301899	44799
411.47547817230225	80	-48.56182034985415	0.4649561090248788	-47.381927159898005	-50.00499381907476	51199
457.4567940235138	90	-48.00643126643705	0.36995907593910826	-47.04487426099677	-48.86108114058037	57599
503.0346760749817	100	-47.10549597969031	0.39899792922834065	-46.01820713196131	-48.07726483715178	63998
548.8533997535706	110	-47.17991137362456	0.40946694464111405	-45.852948731103304	-48.27465010096825	70397
595.0053567886353	120	-50.16835306342299	0.5006714117077277	-48.979338161850436	-51.293048563135876	76790
640.3785729408264	130	-49.81195628302365	0.5553670219326091	-48.42050687520817	-50.860892008752934	83190
685.673670053482	140	-49.28164444263165	0.4591932460404047	-48.3965936797691	-50.57371952433987	89590
731.4626529216766	150	-48.369864617691356	0.4019842045167164	-47.40137806610844	-49.35590728896994	95990
776.8101320266724	160	-49.637382619622905	0.45765243605671174	-48.42410235194798	-51.09701958950653	102388
822.4268009662628	170	-49.1232263510163	0.4733375953031365	-47.97019384577115	-50.622308645870945	108788
868.4940581321716	180	-48.87002565845981	0.383594038382228	-47.70331485261576	-49.93198587694901	115188
913.4612879753113	190	-46.97020233816866	0.3930149268887411	-46.09852364664441	-48.177182256248685	121588
959.1126580238342	200	-49.69881181130637	0.5424985193050512	-48.214857933060635	-51.311893714523826	127985
1004.2404727935791	210	-48.30128820194993	0.3550319807920929	-47.441195654177214	-49.37344929906012	134385
1049.8566238880157	220	-51.35748228458206	0.7632571532900673	-49.4826025119697	-52.64440960705782	140785
1096.5759179592133	230	-49.762134874458646	0.5020687848186999	-48.52655453749454	-51.136039901904354	147185
1142.8048820495605	240	-47.75730633621003	0.45412203843114346	-46.84047614511829	-49.30925690784275	153585
1190.7054419517517	250	-47.32856928716721	0.36604439538599726	-46.47566152307649	-48.30014427839892	159985
1236.5911929607391	260	-48.86900251826598	0.27372012879935403	-48.35426029121598	-49.64278725108711	166385
1282.3083391189575	270	-47.89616855388809	0.371252754564458	-46.991001956727075	-48.79333403308949	172785
1328.469486951828	280	-48.468558227161886	0.38080702515576303	-47.63383428605295	-49.36063186950053	179184
1374.3950819969177	290	-47.637780759195	0.4723416128917513	-46.584173411333346	-48.927545563335414	185584
1420.4361538887024	300	-47.648973873566575	0.2709903079945109	-46.96870780324165	-48.30557811960198	191979
1465.5239939689636	310	-51.166843082374434	0.5364607567896569	-49.92296486070695	-52.818072860324556	198378
1511.7181849479675	320	-50.23973688361312	0.6294292454701605	-49.02222892685317	-52.06385438755002	204775
1557.0259201526642	330	-50.446740999297745	0.507785253757616	-49.158162338017135	-51.932330958232505	211175
1602.993940114975	340	-47.413222386958935	0.43750702998510743	-46.37604305468001	-48.7497628428481	217574
1648.5644791126251	350	-47.931213642836404	0.2747018304173502	-47.112250099524104	-48.56383697058805	223973
1696.1362318992615	360	-50.877731044157244	0.5326158967818757	-49.552494303207084	-52.15072062850772	230373
1742.2651798725128	370	-49.41757692720187	0.38873410218275634	-48.42128766577373	-50.37567097613168	236769
1788.569746017456	380	-47.599032977311644	0.37184779187573846	-46.60398670221583	-48.590537084516335	243169
1835.1735320091248	390	-48.865341925652054	0.4830828379850419	-47.88977732673004	-50.135153906911796	249569
1881.1088378429413	400	-49.38522769084846	0.40360785390994336	-48.44849833789733	-50.43754156535934	255966
1927.813402891159	410	-48.86421669337768	0.34936711145013083	-47.88531610724591	-49.584520560029674	262365
1975.041254043579	420	-50.24275836608997	0.41713770772814746	-49.025213085302326	-51.50212501080075	268765
2021.0583770275116	430	-48.4220244133327	0.36516398841418224	-47.632676732128914	-49.15103098195275	275165
2067.2641208171844	440	-47.8287054612556	0.34756928543876925	-46.75550588482775	-48.578799884413804	281565
2113.789204120636	450	-51.945171793690086	0.526072208809597	-50.75776195023519	-53.10207952756599	287962
